Experiment,Epoch,Train_Loss,Val_Acc
ResNet-34 (No Scheduler),1,3.564317095797995,6.132461161079314
ResNet-34 (No Scheduler),2,3.278336701185807,9.78468247478877
ResNet-34 (No Scheduler),3,2.958507944189984,10.983919324066504
ResNet-34 (No Scheduler),4,2.7018096177474313,13.818479149632052
ResNet-34 (No Scheduler),5,2.441230465018231,16.46225129463069
ResNet-34 (No Scheduler),6,2.1450473339661307,15.017715998909784
ResNet-34 (No Scheduler),7,1.831824336881223,16.026165167620604
ResNet-34 (No Scheduler),8,1.4437761021697002,16.925592804578905
ResNet-34 (No Scheduler),9,1.0212234144625456,13.982011447260835
ResNet-34 (No Scheduler),10,0.6845946052800054,20.577814118288362
ResNet-34 (No Scheduler),11,0.38495762944221495,16.59852820932134
ResNet-34 (No Scheduler),12,0.14124555850158568,22.18588171163805
ResNet-34 (No Scheduler),13,0.047048258489888646,26.601253747615154
ResNet-34 (No Scheduler),14,0.018936201573713965,28.10029980921232
ResNet-34 (No Scheduler),15,0.011916082117544568,28.29108748977923
ResNet-34 (No Scheduler),16,0.009093165867354558,28.727173616789315
ResNet-34 (No Scheduler),17,0.008133702429578357,28.454619787408014
ResNet-34 (No Scheduler),18,0.006399657911337588,27.773235213954756
ResNet-34 (No Scheduler),19,0.005697035174007001,28.563641319160535
ResNet-34 (No Scheduler),20,0.005041607594846383,28.863450531479966
ResNet-34 (No Scheduler),21,0.004977756028023103,28.509130553284272
ResNet-34 (No Scheduler),22,0.00409886149952755,28.37285363859362
ResNet-34 (No Scheduler),23,0.004033171243803656,28.018533660397928
ResNet-34 (No Scheduler),24,0.00880222682253984,25.674570727718724
ResNet-34 (No Scheduler),25,0.007590031934618626,27.855001362769148
ResNet-34 (No Scheduler),26,0.003932491690932733,28.045789043336057
ResNet-34 (No Scheduler),27,0.0036599189043045044,27.664213682202234
ResNet-34 (No Scheduler),28,0.0031632816489866895,27.909512128645407
ResNet-34 (No Scheduler),29,0.0029064292159012477,27.9912782774598
ResNet-34 (No Scheduler),30,0.0027517929683317957,27.96402289452167
ResNet-34 (No Scheduler),31,0.0025210004770601898,28.15481057508858
ResNet-34 (No Scheduler),32,0.0025351315063586377,27.33714908694467
ResNet-34 (No Scheduler),33,0.002444002569815063,27.882256745707277
ResNet-34 (No Scheduler),34,0.0022760212659309414,27.664213682202234
ResNet-34 (No Scheduler),35,0.0020507543337652864,27.909512128645407
ResNet-34 (No Scheduler),36,0.0022879256472072523,28.23657672390297
ResNet-34 (No Scheduler),37,0.0020366247060060825,27.909512128645407
ResNet-34 (No Scheduler),38,0.001795758675966088,27.909512128645407
ResNet-34 (No Scheduler),39,0.001932643268905256,28.15481057508858
ResNet-34 (No Scheduler),40,0.0016707386507693192,28.454619787408014
ResNet-34 (No Scheduler),41,0.0018498600607373468,28.29108748977923
ResNet-34 (No Scheduler),42,0.0016605981144770655,28.07304442627419
ResNet-34 (No Scheduler),43,0.00175239217174037,27.96402289452167
ResNet-34 (No Scheduler),44,0.0016169165929212517,28.12755519215045
ResNet-34 (No Scheduler),45,0.0014925118692664672,28.509130553284272
ResNet-34 (No Scheduler),46,0.001446225407594086,27.909512128645407
ResNet-34 (No Scheduler),47,0.0015267470375756207,28.20932134096484
ResNet-34 (No Scheduler),48,0.0014969278430647175,28.20932134096484
ResNet-34 (No Scheduler),49,0.0012482351699398587,28.045789043336057
ResNet-34 (No Scheduler),50,0.0013092206451920387,28.10029980921232
ResNet-34 (No Scheduler),51,0.001166905945106207,28.182065958026712
ResNet-34 (No Scheduler),52,0.001162998981864961,28.07304442627419
ResNet-34 (No Scheduler),53,0.0012183451777040635,27.96402289452167
ResNet-34 (No Scheduler),54,0.0011230809193954843,27.745979831016626
ResNet-34 (No Scheduler),55,0.0012229703969079192,28.318342872717363
ResNet-34 (No Scheduler),56,0.0010832914591604925,27.96402289452167
ResNet-34 (No Scheduler),57,0.0011834881594910732,28.40010902153175
ResNet-34 (No Scheduler),58,0.0010428327495110748,27.9912782774598
ResNet-34 (No Scheduler),59,0.001125344241787072,28.2638321068411
ResNet-34 (No Scheduler),60,0.00109011654656016,27.909512128645407
ResNet-34 (No Scheduler),61,0.0009641605884889545,28.15481057508858
ResNet-34 (No Scheduler),62,0.0010380113601137924,28.12755519215045
ResNet-34 (No Scheduler),63,0.0009517328732687494,28.427364404469884
ResNet-34 (No Scheduler),64,0.0010104965621038624,28.10029980921232
ResNet-34 (No Scheduler),65,0.0009990052684493687,28.427364404469884
ResNet-34 (No Scheduler),66,0.0008820231679988944,28.23657672390297
ResNet-34 (No Scheduler),67,0.0009155344415415564,28.045789043336057
ResNet-34 (No Scheduler),68,0.0009221549328092647,28.318342872717363
ResNet-34 (No Scheduler),69,0.0009207884791185675,28.045789043336057
ResNet-34 (No Scheduler),70,0.0009242284038286332,27.582447533387842
ResNet-34 (No Scheduler),71,0.0009099866901321903,28.454619787408014
ResNet-34 (No Scheduler),72,0.000931956463382053,28.563641319160535
ResNet-34 (No Scheduler),73,0.0008398016600910088,28.2638321068411
ResNet-34 (No Scheduler),74,0.0008370185374666977,28.15481057508858
ResNet-34 (No Scheduler),75,0.0007498535423782533,28.12755519215045
ResNet-34 (No Scheduler),76,0.0008573736327335886,28.045789043336057
ResNet-34 (No Scheduler),77,0.0007688089547192921,28.12755519215045
ResNet-34 (No Scheduler),78,0.0008262294638173088,28.318342872717363
ResNet-34 (No Scheduler),79,0.0008380327315535396,28.045789043336057
ResNet-34 (No Scheduler),80,0.0007384397709519481,28.754428999727445
ResNet-34 (No Scheduler),81,0.000731566830781167,28.2638321068411
ResNet-34 (No Scheduler),82,0.0007347161803171849,28.07304442627419
ResNet-34 (No Scheduler),83,0.0007211364937298323,28.045789043336057
ResNet-34 (No Scheduler),84,0.0007367071814571871,28.12755519215045
ResNet-34 (No Scheduler),85,0.0007867670385167003,28.045789043336057
ResNet-34 (No Scheduler),86,0.0008422042891059233,27.882256745707277
ResNet-34 (No Scheduler),87,0.0007211337096321032,28.15481057508858
ResNet-34 (No Scheduler),88,0.0006965427107744566,28.29108748977923
ResNet-34 (No Scheduler),89,0.0007195273776153993,27.855001362769148
ResNet-34 (No Scheduler),90,0.0007183154705790398,28.20932134096484
ResNet-34 (No Scheduler),91,0.0007212458509931583,27.936767511583536
ResNet-34 (No Scheduler),92,0.0006592410563430547,28.40010902153175
ResNet-34 (No Scheduler),93,0.0006525014486649761,28.727173616789315
ResNet-34 (No Scheduler),94,0.0006251127765331742,28.12755519215045
ResNet-34 (No Scheduler),95,0.0006454944633372614,27.609702916325976
ResNet-34 (No Scheduler),96,0.0005983703997512551,28.454619787408014
ResNet-34 (No Scheduler),97,0.0005759971666797672,27.800490596892885
ResNet-34 (No Scheduler),98,0.000597248599945527,28.182065958026712
ResNet-34 (No Scheduler),99,0.0006457766948227325,28.15481057508858
ResNet-34 (No Scheduler),100,0.0006073948698189191,28.23657672390297
