epoch,train_loss,val_loss,val_miou
1,0.5347756237484688,0.7020050659775734,0.49663737788796425
2,0.39675182519957075,0.35287458449602127,0.7044517919421196
3,0.3499694036882977,0.36944469809532166,0.5951541485264897
4,0.3393552455791207,0.33855624683201313,0.6853979267179966
5,0.32834359691586607,0.34888975881040096,0.7296895980834961
6,0.3231668704470923,0.3645972851663828,0.6707305070012808
7,0.3097771569046863,0.283743629232049,0.7050088495016098
8,0.33511926684268684,0.349828764796257,0.6486408606215264
9,0.3191019501103911,0.312248295173049,0.697045587003231
10,0.31189398606156193,0.3051003608852625,0.7389588877558708
11,0.31534271635288413,0.30315032228827477,0.6931535061448812
12,0.27268913561521574,0.30711205676198006,0.6728086466901004
13,0.2769382637600566,0.27086786553263664,0.7226695343852043
14,0.28564942680126015,0.3373353146016598,0.6918585076928139
15,0.30599397594152494,0.3001903388649225,0.6882522255182266
16,0.25835112950136496,0.3114471398293972,0.6540591325610876
17,0.25478643698747766,0.28932980448007584,0.6673832852393389
18,0.2629573965488478,0.29336194694042206,0.6548185800202191
19,0.2552428574756134,0.3043721690773964,0.7028755620121956
20,0.24577173452044643,0.27351689524948597,0.7335676923394203
21,0.25082805128984675,0.2590818218886852,0.7424643635749817
22,0.2494661444148352,0.26262231543660164,0.7245752066373825
23,0.2501208563876707,0.2728682644665241,0.7459186837077141
24,0.24206069111824036,0.2583220638334751,0.7475574128329754
25,0.2363371308459792,0.2596917152404785,0.7463128045201302
26,0.2236620236274808,0.26849664375185966,0.7558750286698341
27,0.23338639181713725,0.24691075831651688,0.7705108076334
28,0.21974056993806085,0.25610856525599957,0.7274523600935936
29,0.2284000664949417,0.2582467496395111,0.6784872151911259
30,0.21570031483506047,0.24834544584155083,0.7066762782633305
31,0.223699537127517,0.26165543124079704,0.7034456059336662
32,0.20150348509466925,0.23976753000169992,0.7226143255829811
33,0.2021264745745548,0.24063903838396072,0.7167834155261517
34,0.21708433156789736,0.245162982493639,0.7095176056027412
35,0.20446916617626368,0.2209634967148304,0.764611192047596
36,0.1949316814195278,0.2606671489775181,0.7010929975658655
37,0.2032896779304327,0.26501860097050667,0.6452601794153452
38,0.21585174494011458,0.24068821780383587,0.7343920916318893
39,0.18941631150800128,0.23052018228918314,0.7532596290111542
40,0.2092345408922018,0.22578927502036095,0.7230263017117977
41,0.19937449312487313,0.27176242507994175,0.652387595269829
42,0.20221633966578995,0.21275421045720577,0.7657099813222885
43,0.19849025683347568,0.23130357265472412,0.6884409561753273
44,0.19166643986868304,0.22726409789174795,0.7224079258739948
45,0.1887761032165483,0.2507224502041936,0.6995160970836878
46,0.18649034721906796,0.2180189536884427,0.7373367920517921
47,0.1819075817285582,0.2100862469524145,0.7602289207279682
48,0.19424928794073504,0.22226803936064243,0.7327105235308409
49,0.17261906782555025,0.20970069337636232,0.7522766217589378
50,0.17316222918588062,0.22582045756280422,0.720818106085062
51,0.1760286234839018,0.2126515954732895,0.7371542938053608
52,0.17047256629827412,0.21578634716570377,0.7412936948239803
53,0.16357543510059977,0.17931824177503586,0.7827052250504494
54,0.16711256722378176,0.20042386557906866,0.7503815367817879
55,0.1698862749130227,0.21123881451785564,0.7537574768066406
56,0.16561499532572058,0.19711907114833593,0.7476362213492393
57,0.15438113171000814,0.21369752660393715,0.7364052720367908
58,0.1820884558350541,0.2311874944716692,0.7225569263100624
59,0.17350053440692814,0.22952122706919909,0.7153885457664728
60,0.16727954027957695,0.21014283876866102,0.7316914349794388
61,0.16059978618178256,0.20672943722456694,0.7481354847550392
62,0.1709607352697572,0.20785022340714931,0.677844762802124
63,0.1685996040008789,0.18419483397156,0.766658179461956
64,0.16555399413025657,0.1866821125149727,0.7767640948295593
65,0.16451812085024145,0.17637915257364511,0.7899307534098625
66,0.15183361723672512,0.21234230231493711,0.7445842549204826
67,0.15028723606536554,0.1711754398420453,0.7927999794483185
68,0.1572547111400338,0.2315665613859892,0.6943177878856659
69,0.1519306421626446,0.1983549427241087,0.7461661957204342
70,0.1435659661195999,0.1766000734642148,0.8003110736608505
71,0.1409552112914795,0.18620892614126205,0.7488142177462578
72,0.1395144942541455,0.15809158887714148,0.8240683749318123
73,0.1416092116472333,0.17193170730024576,0.7910278216004372
74,0.15304036438465118,0.20665190275758505,0.743990883231163
75,0.13138838320277457,0.19144733157008886,0.7586972117424011
76,0.1446180807989697,0.2072897246107459,0.7025955766439438
77,0.13906155422676442,0.18929150328040123,0.7744150459766388
78,0.1372219480054323,0.18354884441941977,0.7618934735655785
79,0.14099282650060432,0.18421045690774918,0.7652535066008568
80,0.141027873338655,0.16524006891995668,0.8032392635941505
81,0.14916538914968802,0.16279868967831135,0.8038506135344505
82,0.12790956261546113,0.13970931340008974,0.847543329000473
83,0.12644770377597145,0.1708588507026434,0.7802364155650139
84,0.1353351893120034,0.19231447530910373,0.765907634049654
85,0.12732319897690483,0.20660581719130278,0.7283941172063351
86,0.13723867663810418,0.16303778626024723,0.808656819164753
87,0.15224435734887456,0.1745338710024953,0.7840263918042183
88,0.12525752567967705,0.16360833030194044,0.8014973700046539
89,0.12159614472888237,0.14999197516590357,0.8238651752471924
90,0.12660522447075956,0.16672614868730307,0.7768159620463848
91,0.12141141382067702,0.15890318155288696,0.7861353829503059
92,0.11755926837754804,0.12863537203520536,0.8551247045397758
93,0.1325510660576266,0.12881963280960917,0.8520187735557556
94,0.1388361105738684,0.1700537046417594,0.7723097540438175
95,0.13607871220555418,0.18337740749120712,0.7309091165661812
96,0.12337505037701407,0.14674155227839947,0.8129070997238159
97,0.11956564371669015,0.1688697119243443,0.8022736608982086
98,0.10131109245987825,0.14372466271743178,0.8184402659535408
99,0.11142657558585323,0.1997262267395854,0.7221955992281437
100,0.11395992555244025,0.14024603413417935,0.8333274498581886
